,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,wID,x,y,Views,Weight,Main topic,Subtopic
1460,13.0,1032579.0,"Гуляев, Юрий Александрович",18.0,0.9724247455596924,Q1995891,Culture.Biography.Biography*,233.0,29850.25700782895,111.0,10.0,132.0,33.030304,1032579.0,605.53687,3111.8213,2039.0,12.641521692276001,Culture,Biography*
1461,1.0,1033364.0,Украина и Европейский союз,41.0,0.9566442370414734,Q658951,History_and_Society.Politics_and_government,153.0,0.0,95.0,8.0,155.0,10.0,1033364.0,-2251.83,-3239.4216,3438.0,0.9566442370414734,History_and_Society,Politics_and_government
1462,1.0,1035167.0,Проблема принадлежности южных Курильских островов,41.0,0.9976133108139038,Q389717,History_and_Society.Society,153.0,0.0,95.0,8.0,155.0,10.0,1035167.0,-2515.0647,-2934.5293,15765.0,0.9976133108139038,History_and_Society,Society
1463,3.0,1036404.0,"Васкес, Табаре",25.0,0.9984121918678284,Q9099,Culture.Biography.Biography*,192.0,0.0,192.0,25.0,192.0,13.838384,1036404.0,434.50833,-730.9657599999997,625.0,2.995236575603485,Culture,Biography*
1464,13.0,1037197.0,Торино,24.0,0.5000100135803223,Q2768,Culture.Sports,0.0,22446.74880880406,172.0,0.0,0.0,33.030304,1037197.0,362.91607999999997,1367.1622,1585.0,6.5001301765441895,Culture,Sports
1465,3.0,1037223.0,Это я — Эдичка,33.0,0.9919480085372924,Q3228513,Culture.Literature,23.0,14075.188389171932,140.0,21.0,0.0,13.838384,1037223.0,-726.2698,1272.193,10749.0,2.975844025611877,Culture,Literature
1466,2.0,1038841.0,Диканька,21.0,0.998977780342102,Q1268711,Geography.Regions.Europe.Europe*,132.0,0.0,136.0,3.0,0.0,11.919192,1038841.0,-3220.0208,-481.2348,1988.0,1.997955560684204,Geography,Europe*
1467,5.0,1040989.0,Утрехтский мирный договор (1713),0.0,0.3415925204753876,Q154674,History_and_Society.Politics_and_government,0.0,40100.290703786464,105.0,11.0,208.0,17.676767,1040989.0,-2149.163,1405.1643,657.0,1.7079626023769379,History_and_Society,Politics_and_government
1468,3.0,1043779.0,Чёрные пантеры (партия),28.0,0.8962613940238953,Q189150,History_and_Society.Politics_and_government,192.0,22628.276713962525,192.0,18.0,192.0,13.838384,1043779.0,639.24695,-266.0243,2215.0,2.688784182071686,History_and_Society,Politics_and_government
1469,3.0,1046456.0,"Моутинью, Жоау",29.0,0.9992545843124392,Q222151,Culture.Biography.Biography*,182.0,1549.0,168.0,4.0,0.0,13.838384,1046456.0,1539.6147,589.0798,851.0,2.997763752937318,Culture,Biography*
1470,1.0,1048654.0,"Хасис, Лев Аронович",30.0,0.998142421245575,Q4496459,Culture.Biography.Biography*,208.0,0.0,65.0,10.0,227.0,10.0,1048654.0,-1655.2320000000002,-2.6434789,654.0,0.998142421245575,Culture,Biography*
