,Label,Modularity Class,wID,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
1607901,"Павловский, Иван Григорьевич (генерал)",14,1607901,13.838384,0,134,82,-2920.4001,-113.546684,1607901,3,7,70200.19678198847,Q11714463
1608489,"Угадай, кто?",9,1608489,11.919192,150,127,0,2750.4023,119.57569,1608489,2,13,3099.0,Q255137
1608831,Приключения Флика,15,1608831,15.757576,192,192,192,897.1051,-1688.0836,1608831,4,11,4074.7778135683457,Q216153
1609411,Чемпионат Люксембурга по футболу,26,1609411,17.676767,253,65,0,-1199.6016,-868.2649,1609411,5,2,1647.551544918546,Q245252
1610950,"Сапунов, Андрей Борисович",18,1610950,13.838384,132,111,233,-586.15857,3060.741,1610950,3,10,0.0,Q4408175
1610966,"Пучков, Николай Георгиевич",29,1610966,15.757576,0,168,182,1931.9373,278.03833,1610966,4,4,759.6867214054325,Q1348265
1611029,Хаддерсфилд Таун,24,1611029,15.757576,0,172,0,-286.43097,954.4435,1611029,4,0,1755.6893432646227,Q19473
1611140,"Хусти, Сабольч",26,1611140,13.838384,253,65,0,-1036.9568,-973.7813,1611140,3,2,3847.3820546946667,Q463336
1612146,С-8,13,1612146,11.919192,192,192,192,-235.09106,-2065.9487,1612146,2,15,21651.0,Q1460743
1612282,"Вердаско, Фернандо",30,1612282,17.676767,227,65,208,-1722.2019,726.20105,1612282,5,27,2498.3123622266144,Q191740
1613714,Людовик II (король Венгрии и Чехии),26,1613714,11.919192,253,65,0,-962.60675,-1326.2981,1613714,2,2,3098.9999999999995,Q157092
1616152,Клубный футболист года по версии УЕФА,26,1616152,23.434343,253,65,0,-919.40454,-1305.3308,1616152,8,2,873.2391107562572,Q1187699
1617700,Вверх,17,1617700,13.838384,0,134,233,-1079.482,-2687.923,1617700,3,22,15459.0,Q174811
1618448,"Пури, Амриш",2,1618448,10.0,0,127,167,-2517.7732,725.00134,1618448,1,3,0.0,Q333443
1621301,"Дроздов, Антон Викторович",30,1621301,10.0,227,65,208,-2072.1416,303.57523,1621301,1,10,0.0,Q15066033
