,Label,Modularity Class,wID,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
3135751,Интервью_с_вампиром_(роман),9,3135751,23.434343,150,127,0,3572.7283,580.3602,3135751,8,13,0.0
3136504,"Грейси_IV,_Арчибальд",20,3136504,19.595959,0,159,234,-2977.738,-2115.17,3136504,6,29,542.0703942471516
3144577,"Кэхилл,_Гари",24,3144577,23.434343,0,172,0,77.73945,80.836464,3144577,8,0,23109.415573974286
3145100,"Тарута,_Сергей_Алексеевич",41,3145100,21.515152,155,95,153,-2167.3765,-2905.7888,3145100,7,8,12947.5004000955
3146221,"Кошонин,_Сергей_Анатольевич",37,3146221,19.595959,192,192,192,-1519.3193,1691.6532,3146221,6,3,13156.28957094656
3150656,Черномырдинки,30,3150656,11.919192,227,65,208,-1746.1622,146.43275,3150656,2,10,3099.0
3161474,"Беннетт,_Ману",38,3161474,10.0,192,192,192,216.04904,-3178.5017,3161474,1,32,0.0
3162956,Список_розыгрышей_Суперкубка_УЕФА,26,3162956,23.434343,253,65,0,-995.04456,-1487.3593,3162956,8,2,1183.7420955080663
3165449,Косино_(станция_метро),5,3165449,46.464645,192,192,192,2751.7585,-895.4074,3165449,20,30,19.13987842751248
3166556,Трудовые_ресурсы_в_России,11,3166556,10.0,192,192,192,1606.3573,-781.73773,3166556,1,5,0.0
3167876,"Добронравова,_Елена_Борисовна",39,3167876,11.919192,236,36,133,771.20264,1545.1628,3167876,2,3,2860.4456533064154
3168464,Андрей_Малахов._Прямой_эфир,2,3168464,13.838384,0,127,167,-3205.1602,822.3567,3168464,3,5,641.6122147786137
3168482,"Абдалова,_Алла_Александровна",18,3168482,11.919192,132,111,233,-528.81134,3032.4395,3168482,2,10,139.0702626439173
3170718,"Хилл,_Бернард",20,3170718,13.838384,0,159,234,-2905.503,-1825.8455,3170718,3,29,43316.497411872406
3170971,Суперкубок_УЕФА_2010,26,3170971,21.515152,253,65,0,-941.0756,-1361.9108,3170971,7,2,3099.0
3181224,Цилиндр_Фарадея,19,3181224,10.0,192,192,192,2137.419,-721.0833,3181224,1,17,0.0
3181635,"Тадич,_Душан",24,3181635,19.595959,0,172,0,-102.77401,1103.5449,3181635,6,0,476.1417944537373
3182095,"Андроникашвили,_Борис_Борисович",18,3182095,11.919192,132,111,233,-0.08657342,2498.415,3182095,2,10,0.0
3182101,Леганес_(футбольный_клуб),25,3182101,15.757576,192,192,192,107.68877,-559.2337,3182101,4,2,3122.6764191889197
3182671,Президентские_выборы_в_США_(2012),1,3182671,11.919192,89,153,0,1790.6857,1187.0931,3182671,2,6,0.0
3190315,"Моисеенко,_Владимир_Александрович",37,3190315,15.757576,192,192,192,-1393.0747,1491.0138,3190315,4,16,21399.10665294688
3192856,Финал_Кубка_европейских_чемпионов_1991,26,3192856,33.030304,253,65,0,-1759.205,-1075.6362,3192856,13,2,0.0
3192943,"Бьюзи,_Джейк",15,3192943,11.919192,192,192,192,1084.0557,-2026.412,3192943,2,13,29608.50884825184
3195587,"Трапп,_Кевин",26,3195587,10.0,253,65,0,-1220.9512,-1130.7657,3195587,1,2,0.0
3199461,"Светлова,_Анастасия_Андреевна",9,3199461,10.0,150,127,0,2319.8862,654.9097,3199461,1,13,0.0
3201661,"Флэнаган,_Джон_(футболист)",26,3201661,10.0,253,65,0,-1691.587,-1211.9833,3201661,1,2,0.0
3206346,"Кахиашвили,_Кахи_Тамазович",18,3206346,10.0,132,111,233,301.94107,2757.1504,3206346,1,10,0.0
3215508,Вампирские_хроники,9,3215508,23.434343,150,127,0,3239.5164,885.79095,3215508,8,13,0.0
3226246,Халид_ибн_Баргаш,21,3226246,11.919192,0,136,132,-2946.5186,-676.92017,3226246,2,12,0.0
3242143,Пожар_на_авианосце_«Форрестол»_(1967),1,3242143,19.595959,89,153,0,1993.7089,1335.5004,3242143,6,6,1345.3369985164118
3249008,Североморск_(большой_противолодочный_корабль),11,3249008,15.757576,192,192,192,1580.4415,-819.4812,3249008,4,5,3038.9456706222422
3251146,Вестсайдская_история_(мюзикл),9,3251146,13.838384,150,127,0,3304.878,606.75104,3251146,3,13,9293.0
3252500,"Гоналон,_Максим",26,3252500,10.0,253,65,0,-1138.0918,-1219.2108,3252500,1,2,0.0
3252667,Уходя_—_уходи,16,3252667,10.0,98,125,18,1888.5732,-1675.6378,3252667,1,3,0.0
3255060,Ахалцихское_сражение_(1828),21,3255060,13.838384,0,136,132,-3622.0984,-607.252,3255060,3,11,0.0
3261652,"Жених_напрокат_(фильм,_2011)",36,3261652,10.0,192,192,192,-228.74289,1561.2659,3261652,1,35,0.0
3264412,Государственные_краткосрочные_облигации,10,3264412,13.838384,195,78,71,617.3442,-1563.7634,3264412,3,9,742.8946228720661
3270420,Миссис_Ловетт,9,3270420,10.0,150,127,0,3331.825,485.4299,3270420,1,13,0.0
3274352,"Бьянки,_Жюль",22,3274352,19.595959,192,192,192,-277.73026,-93.26433,3274352,6,24,3.392857142857143
3281957,Сувенир_для_прокурора,8,3281957,13.838384,163,102,15,2039.0304,-3008.9255,3281957,3,11,12388.0
3282318,Арап_Петра_Великого,2,3282318,11.919192,0,127,167,-2774.7898,1031.8398,3282318,2,3,0.0
3284681,"Габрелянов,_Арам_Ашотович",10,3284681,11.919192,195,78,71,-154.67726,-1806.1687,3284681,2,9,28828.20809305906
3290731,Суперкубок_УЕФА_2005,26,3290731,10.0,253,65,0,-1585.0945,-1283.6875,3290731,1,2,0.0
3298809,"Кара-Мурза,_Сергей_Георгиевич_(1876—1956)",33,3298809,19.595959,0,140,23,-336.8041,1295.3495,3298809,6,21,0.0
3319535,"Квят,_Даниил_Вячеславович",22,3319535,25.353535,192,192,192,-336.4655,-448.5712,3319535,9,24,2164.842857142706
3319948,"Байрамян,_Хорен_Робертович",29,3319948,11.919192,0,168,182,1059.7587,122.54242,3319948,2,4,0.0
3321834,Т-64,14,3321834,17.676767,0,134,82,-2461.5835,-192.68735,3321834,5,7,108031.34104608861
3323829,"Дмитриева,_Антонина_Ивановна",18,3323829,10.0,132,111,233,-270.99002,3802.042,3323829,1,10,0.0
3324418,"Шаров,_Владимир_Александрович",39,3324418,13.838384,236,36,133,441.86887,1464.0306,3324418,3,3,3099.0
3324656,"Кахун,_Александр_Юрьевич",39,3324656,10.0,236,36,133,869.54407,2157.2986,3324656,1,3,0.0
3326384,Орлы_(Средиземье),38,3326384,65.65657,192,192,192,591.99255,-4199.6313,3326384,30,32,694.6646153034187
3326588,"Брунов,_Борис_Сергеевич",18,3326588,10.0,132,111,233,-87.16951,2182.226,3326588,1,10,0.0
