,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
1921,4.0,3491441.0,Jesse L. Brown,0.9972090721130372,Q392039,Culture.Biography.Biography*,190.0,5555.160222802398,119.0,0.0,60.0,11.925675,-14.638551000000001,15.077629,3580.0,3.988836288452149,Culture,Biography*
1922,17.0,3500202.0,Civil War (comics),0.952584147453308,Q726495,Culture.Literature,192.0,68056.78084977619,192.0,16.0,192.0,20.270270999999997,-0.9070229999999999,18.614363,14676.0,16.193930506706234,Culture,Literature
1923,1.0,3507255.0,Steve Raible,0.9990094900131226,Q3499069,Culture.Biography.Biography*,65.0,0.0,15.0,23.0,255.0,10.0,-12.001855,0.52293205,1775.0,0.9990094900131226,Culture,Biography*
1924,1.0,3509428.0,Christos Papadimitriou,0.9984612464904784,Q92639,Culture.Biography.Biography*,156.0,0.0,77.0,40.0,187.0,10.0,11.504592,-7.2523399999999985,4872.0,0.9984612464904784,Culture,Biography*
1925,10.0,3511184.0,Auckland City FC,0.9770326614379884,Q630544,Culture.Sports,0.0,491574.13432942884,122.0,4.0,154.0,15.777026999999999,-0.9202035,-9.819531,4471.0,9.770326614379885,Culture,Sports
1926,29.0,3512750.0,List of constituencies of the Lok Sabha,0.989681839942932,Q3429959,History_and_Society.Politics_and_government,0.0,7053.749519385525,155.0,2.0,69.0,27.972973,-7.1880374000000025,-14.350045000000001,178342.0,28.700773358345028,History_and_Society,Politics_and_government
1927,4.0,3524561.0,Cisplatine War,0.9344051480293274,Q288251,History_and_Society.Military_and_warfare,0.0,3664.000000000263,122.0,4.0,154.0,11.925675,13.462952,1.1017632,4287.0,3.7376205921173096,History_and_Society,Military_and_warfare
1928,1.0,3526357.0,"Jeff Richards (actor, born 1924)",0.9871888160705566,Q543748,Culture.Biography.Biography*,145.0,0.0,0.0,7.0,254.0,10.0,-23.397371,0.8565273999999999,0.0,0.9871888160705566,Culture,Biography*
1929,2.0,3526392.0,Deer Island (Thousand Islands),0.8872146010398865,Q1182475,Geography.Regions.Americas.North_America,190.0,0.0,119.0,0.0,60.0,10.6418915,20.424128,-7.591328999999999,5294.0,1.774429202079773,Geography,North_America
1930,1.0,3528199.0,Guadalupe-Reyes Marathon,0.4945416321754456,Q5613223,Geography.Regions.Americas.North_America,65.0,0.0,15.0,18.0,255.0,10.0,-9.545799,-22.915157,2592.0,0.4945416321754456,Geography,North_America
1931,1.0,3531005.0,Sasho Cirovski,0.9879562258720398,Q7425132,Culture.Sports,0.0,0.0,89.0,4.0,234.0,10.0,-14.435406,9.658417,1758.0,0.9879562258720398,Culture,Sports
1932,3.0,3534436.0,Attorney General of New York,0.9648651480674744,Q7013056,History_and_Society.Politics_and_government,192.0,104173.0,192.0,19.0,192.0,11.283783999999999,12.760525,21.756048,3382.0,2.894595444202423,History_and_Society,Politics_and_government
1933,7.0,3536410.0,Football Night in America,0.9732507467269896,Q5465891,Culture.Media.Television,65.0,10900.547448060624,15.0,23.0,255.0,13.851351000000001,13.382,-19.07987,2057.0,6.812755227088927,Culture,Television
1934,3.0,3545454.0,Brandon Browner,0.9988405108451844,Q2947448,Culture.Biography.Biography*,97.0,7300.494558611945,136.0,23.0,0.0,11.283783999999999,1.2934642,-23.748272,75404.0,2.9965215325355534,Culture,Biography*
1935,2.0,3546126.0,Richard Wilkins (TV presenter),0.9706977605819702,Q7329977,Culture.Biography.Biography*,192.0,0.0,192.0,33.0,192.0,10.6418915,-23.73428,-20.901804000000002,2616.0,1.9413955211639404,Culture,Biography*
1936,2.0,3548851.0,Leslie Coffelt,0.9905974268913268,Q6530715,Culture.Biography.Biography*,190.0,0.0,119.0,0.0,60.0,10.6418915,-4.9826775,-16.495518,3200.0,1.9811948537826536,Culture,Biography*
1937,3.0,3550878.0,AEK Larnaca FC,0.9324633479118348,Q291447,Culture.Sports,28.0,13658.697434939353,127.0,4.0,89.0,11.283783999999999,22.82155400000001,-3.5374255,3611.0,2.7973900437355046,Culture,Sports
