,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views
134,13.0,2222.0,美國獨立宣言,0.16027602553367615,Q127912,Culture.Biography.Biography*,2222.0,17012.992917981075,0.0,3417.0
135,13.0,2222.0,美國獨立宣言,0.0,Q127912,Geography.Regions.Asia.Asia*,2222.0,17012.992917981075,0.0,3417.0
136,13.0,2222.0,美國獨立宣言,0.0,Q127912,Geography.Regions.Europe.Europe*,2222.0,17012.992917981075,0.0,3417.0
137,9.0,2239.0,美国历史,0.7981967926025391,Q131110,History_and_Society.History,2239.0,20376.826330771117,3.0,2998.0
138,9.0,2239.0,美国历史,0.11597072333097458,Q131110,History_and_Society.Society,2239.0,20376.826330771117,3.0,2998.0
139,9.0,2239.0,美国历史,0.0,Q131110,Geography.Regions.Americas.North_America,2239.0,20376.826330771117,3.0,2998.0
140,6.0,2309.0,中华民族,0.8267217874526978,Q2780812,History_and_Society.Politics_and_government,2309.0,4486.5272852673415,8.0,2515.0
141,6.0,2309.0,中华民族,0.287777841091156,Q2780812,Culture.Philosophy_and_religion,2309.0,4486.5272852673415,8.0,2515.0
142,6.0,2309.0,中华民族,0.1824355274438858,Q2780812,History_and_Society.Society,2309.0,4486.5272852673415,8.0,2515.0
143,6.0,2309.0,中华民族,0.0,Q2780812,Geography.Regions.Europe.Europe*,2309.0,4486.5272852673415,8.0,2515.0
144,6.0,2309.0,中华民族,0.0,Q2780812,Geography.Regions.Asia.Asia*,2309.0,4486.5272852673415,8.0,2515.0
145,47.0,2797.0,荆州市,1.0000100135803225,Q71247,Geography.Regions.Asia.East_Asia,2797.0,7912.000660303549,8.0,5556.0
146,47.0,2797.0,荆州市,0.9995371699333192,Q71247,Geography.Regions.Asia.Asia*,2797.0,7912.000660303549,8.0,5556.0
147,47.0,2797.0,荆州市,0.16886694729328156,Q71247,Geography.Geographical,2797.0,7912.000660303549,8.0,5556.0
148,2.0,2805.0,二进制,0.6926519870758057,Q3913,STEM.STEM*,2805.0,4478.0,5.0,2942.0
149,17.0,2924.0,伊利诺伊州,0.9748311638832092,Q1204,Geography.Geographical,2924.0,40764.80121678412,0.0,1904.0
150,17.0,2924.0,伊利诺伊州,0.8706072568893433,Q1204,Geography.Regions.Americas.North_America,2924.0,40764.80121678412,0.0,1904.0
151,13.0,3039.0,托马斯·杰斐逊,0.99593985080719,Q11812,Culture.Biography.Biography*,3039.0,27568.677582390912,0.0,3022.0
152,13.0,3039.0,托马斯·杰斐逊,0.22816647589206696,Q11812,History_and_Society.Politics_and_government,3039.0,27568.677582390912,0.0,3022.0
153,13.0,3039.0,托马斯·杰斐逊,0.13297423720359802,Q11812,History_and_Society.History,3039.0,27568.677582390912,0.0,3022.0
154,13.0,3039.0,托马斯·杰斐逊,0.0,Q11812,Geography.Regions.Americas.North_America,3039.0,27568.677582390912,0.0,3022.0
155,13.0,3039.0,托马斯·杰斐逊,0.0,Q11812,Geography.Regions.Europe.Europe*,3039.0,27568.677582390912,0.0,3022.0
156,23.0,3202.0,大洋洲,0.9748311638832092,Q538,Geography.Geographical,3202.0,92717.69694077516,5.0,3217.0
157,23.0,3202.0,大洋洲,0.5312193632125854,Q538,Geography.Regions.Oceania,3202.0,92717.69694077516,5.0,3217.0
158,23.0,3202.0,大洋洲,0.4455395638942719,Q538,STEM.Earth_and_environment,3202.0,92717.69694077516,5.0,3217.0
159,23.0,3202.0,大洋洲,0.33459946513175964,Q538,STEM.STEM*,3202.0,92717.69694077516,5.0,3217.0
160,23.0,3202.0,大洋洲,0.3073680400848389,Q538,History_and_Society.Society,3202.0,92717.69694077516,5.0,3217.0
161,23.0,3202.0,大洋洲,0.2120788097381592,Q538,Geography.Regions.Asia.Asia*,3202.0,92717.69694077516,5.0,3217.0
162,23.0,3202.0,大洋洲,0.1067005917429924,Q538,STEM.Biology,3202.0,92717.69694077516,5.0,3217.0
163,21.0,3417.0,牙买加,0.9963027834892272,Q766,Geography.Geographical,3417.0,39954.775319654495,5.0,3596.0
164,21.0,3417.0,牙买加,0.5156299471855164,Q766,Geography.Regions.Americas.Central_America,3417.0,39954.775319654495,5.0,3596.0
165,21.0,3417.0,牙买加,0.26285186409950256,Q766,History_and_Society.Society,3417.0,39954.775319654495,5.0,3596.0
166,21.0,3417.0,牙买加,0.16027602553367615,Q766,Geography.Regions.Europe.Europe*,3417.0,39954.775319654495,5.0,3596.0
167,21.0,3417.0,牙买加,0.13297423720359802,Q766,Culture.Biography.Biography*,3417.0,39954.775319654495,5.0,3596.0
168,21.0,3417.0,牙买加,0.10088862478733064,Q766,Geography.Regions.Americas.North_America,3417.0,39954.775319654495,5.0,3596.0
169,32.0,3449.0,水,0.960371196269989,Q283,STEM.STEM*,3449.0,102260.55450731766,3.0,4016.0
170,32.0,3449.0,水,0.7931159734725952,Q283,STEM.Chemistry,3449.0,102260.55450731766,3.0,4016.0
171,32.0,3449.0,水,0.275139719247818,Q283,Culture.Food_and_drink,3449.0,102260.55450731766,3.0,4016.0
172,32.0,3449.0,水,0.18714269995689392,Q283,STEM.Biology,3449.0,102260.55450731766,3.0,4016.0
173,32.0,3449.0,水,0.1520422399044037,Q283,STEM.Medicine_&_Health,3449.0,102260.55450731766,3.0,4016.0
174,22.0,3472.0,柏林,0.9871888160705566,Q64,Geography.Regions.Europe.Europe*,3472.0,102621.7073467144,10.0,3471.0
175,22.0,3472.0,柏林,0.9615437984466552,Q64,Geography.Regions.Europe.Western_Europe,3472.0,102621.7073467144,10.0,3471.0
176,22.0,3472.0,柏林,0.5156299471855164,Q64,Geography.Geographical,3472.0,102621.7073467144,10.0,3471.0
177,22.0,3472.0,柏林,0.14415885508060455,Q64,History_and_Society.History,3472.0,102621.7073467144,10.0,3471.0
178,29.0,3510.0,乌鲁木齐市,0.9980222582817078,Q16959,Geography.Regions.Asia.Asia*,3510.0,28334.961842146466,8.0,3482.0
179,29.0,3510.0,乌鲁木齐市,0.9841036200523376,Q16959,Geography.Regions.Asia.East_Asia,3510.0,28334.961842146466,8.0,3482.0
180,29.0,3510.0,乌鲁木齐市,0.8267217874526978,Q16959,Geography.Geographical,3510.0,28334.961842146466,8.0,3482.0
181,29.0,3510.0,乌鲁木齐市,0.1294127255678177,Q16959,Geography.Regions.Asia.Central_Asia,3510.0,28334.961842146466,8.0,3482.0
182,4.0,3675.0,了不起的盖茨比,0.9566442370414734,Q214371,Culture.Literature,3675.0,2855.308620752333,4.0,3311.0
183,4.0,3675.0,了不起的盖茨比,0.9481645226478576,Q214371,Culture.Media.Media*,3675.0,2855.308620752333,4.0,3311.0
184,4.0,3675.0,了不起的盖茨比,0.8991314172744751,Q214371,Culture.Media.Books,3675.0,2855.308620752333,4.0,3311.0
185,4.0,3675.0,了不起的盖茨比,0.0,Q214371,Geography.Regions.Americas.North_America,3675.0,2855.308620752333,4.0,3311.0
186,5.0,3692.0,梅兰芳,0.9825675487518309,Q526989,Culture.Biography.Biography*,3692.0,1173.8373278066656,8.0,4516.0
187,5.0,3692.0,梅兰芳,0.3696072568893433,Q526989,Geography.Regions.Asia.Asia*,3692.0,1173.8373278066656,8.0,4516.0
188,5.0,3692.0,梅兰芳,0.338743971824646,Q526989,Geography.Regions.Asia.East_Asia,3692.0,1173.8373278066656,8.0,4516.0
189,5.0,3692.0,梅兰芳,0.10088862478733064,Q526989,Culture.Media.Media*,3692.0,1173.8373278066656,8.0,4516.0
190,28.0,3725.0,吴语,0.9715740084648132,Q34290,Geography.Regions.Asia.East_Asia,3725.0,22698.2509356909,8.0,3635.0
191,28.0,3725.0,吴语,0.9697954058647156,Q34290,Culture.Linguistics,3725.0,22698.2509356909,8.0,3635.0
192,28.0,3725.0,吴语,0.9433575868606568,Q34290,Geography.Regions.Asia.Asia*,3725.0,22698.2509356909,8.0,3635.0
193,2.0,3749.0,伍子胥,0.9381340146064758,Q1268609,Culture.Biography.Biography*,3749.0,0.0,8.0,2644.0
194,2.0,3749.0,伍子胥,0.2814156115055084,Q1268609,Culture.Philosophy_and_religion,3749.0,0.0,8.0,2644.0
195,2.0,3749.0,伍子胥,0.21124218606948847,Q1268609,Geography.Regions.Asia.Asia*,3749.0,0.0,8.0,2644.0
196,2.0,3749.0,伍子胥,0.1824355274438858,Q1268609,History_and_Society.Military_and_warfare,3749.0,0.0,8.0,2644.0
197,2.0,3749.0,伍子胥,0.1097157895565033,Q1268609,History_and_Society.History,3749.0,0.0,8.0,2644.0
198,2.0,3749.0,伍子胥,0.06118653917312623,Q1268609,Geography.Regions.Asia.East_Asia,3749.0,0.0,8.0,2644.0
199,2.0,3896.0,带宽,0.91965252161026,Q249998,STEM.STEM*,3896.0,1619.127345484941,5.0,2549.0
200,2.0,3896.0,带宽,0.40734341740608215,Q249998,STEM.Computing,3896.0,1619.127345484941,5.0,2549.0
201,2.0,3896.0,带宽,0.1732981950044632,Q249998,STEM.Technology,3896.0,1619.127345484941,5.0,2549.0
202,14.0,3917.0,英国君主列表,1.0,Q4869954,Compilation.List_Disambig,3917.0,34980.88879246387,5.0,2816.0
203,14.0,3917.0,英国君主列表,0.26285186409950256,Q4869954,Culture.Biography.Biography*,3917.0,34980.88879246387,5.0,2816.0
204,14.0,3917.0,英国君主列表,0.16452647745609286,Q4869954,History_and_Society.Politics_and_government,3917.0,34980.88879246387,5.0,2816.0
205,14.0,3917.0,英国君主列表,0.1294127255678177,Q4869954,History_and_Society.History,3917.0,34980.88879246387,5.0,2816.0
206,14.0,3917.0,英国君主列表,0.0,Q4869954,Geography.Regions.Europe.Europe*,3917.0,34980.88879246387,5.0,2816.0
207,14.0,3917.0,英国君主列表,0.0,Q4869954,Geography.Regions.Americas.North_America,3917.0,34980.88879246387,5.0,2816.0
