,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
8031505,La Tête haute (film),10.0,0,134,135,19.309958,-22.551609,8031505,1,0,0.0,Q17632280
8047157,Finale de la Coupe du monde de football,10.0,235,94,0,23.681553,-13.821782,8047157,1,3,0.0,Q2899571
8072184,Pablo Carreño Busta,36.129032,41,139,0,-19.732792,-20.631203,8072184,10,8,176.7148361138503,Q7121592
8097158,Armorial des présidents de la République française,15.806452,193,77,88,-7.3358474,-8.918019,8097158,3,9,3345.0,Q4793737
8104327,José Gayà,15.806452,192,192,192,16.371464,-0.31319386,8104327,3,3,0.0,Q15396247
8141173,Cassandre Beaugrand,10.0,192,192,192,22.871447,17.570366,8141173,1,24,0.0,Q17485841
8193504,Joshua Kimmich,27.419353,235,94,0,-14.989612,-13.728513,8193504,7,3,5674.721505848746,Q13865408
8209463,Alexandre Zakhartchenko,12.903226,192,192,192,-9.001024,3.0857337,8209463,2,24,0.0,Q17488307
8319917,Héctor Bellerín,10.0,235,94,0,-3.174337,7.318629,8319917,1,3,0.0,Q14947422
8375089,Pierre-Hugues Herbert,41.935482,41,139,0,-5.878155,16.154713,8375089,12,8,449.6464428397407,Q2093033
8382747,La Famille Bélier,12.903226,0,168,183,14.723165,19.49987,8382747,2,5,36553.74809609941,Q18214711
8396990,Simone Biles,12.903226,153,96,160,24.69817,-22.577366,8396990,2,22,5154.403841275827,Q7520267
8464956,Lesia Tsurenko,15.806452,0,164,49,21.00725,4.6210365,8464956,3,14,0.0,Q289378
8465460,Babysitting 2,18.709677,235,44,170,7.371921,-19.732985,8465460,4,20,1117.0,Q18610820
8554119,Grégoire Defrel,15.806452,54,124,233,-9.040947,-10.316312,8554119,3,7,512.352380952381,Q5612770
8583219,Haas F1 Team,30.32258,192,192,192,-22.06411,-13.069615,8583219,8,17,3.4499999999999997,Q16300222
8612113,Contentieux relatif aux îles Kouriles,12.903226,60,163,0,0.2451181,11.97169,8612113,2,2,0.0,Q389717
8615226,Juliette Méadel,10.0,193,77,88,-16.720612,-18.88322,8615226,1,9,0.0,Q19629275
8649367,Pebble Beach (Californie),10.0,175,95,13,-13.515471,13.580554,8649367,1,13,0.0,Q1376505
8670125,Stars sous hypnose,18.709677,235,44,170,9.304668,17.007292,8670125,4,20,4461.0,Q21428007
8687876,Éliminatoires de la Coupe du monde de football 2018,47.741936,235,94,0,3.4041445,17.241522,8687876,14,3,14960.548552061864,Q8346779
8747270,Prostitution en Allemagne,10.0,60,163,0,-7.1473527,-22.644579,8747270,1,2,0.0,Q12605
8807731,"Chocolat (film, 2016)",24.516129,114,121,10,-3.2021406,0.75424856,8807731,6,1,29778.004359617327,Q19521218
8853053,"Le Livre de la jungle (film, 2016)",10.0,192,192,192,7.027204,10.207442,8853053,1,24,0.0,Q16857406
9123110,Rod Paradot,18.709677,0,134,135,-20.722876,-17.46231,9123110,4,0,2746.1714627326937,Q19945198
9140802,Élisabeth Borne,47.741936,193,77,88,-13.770291,-3.1654258,9140802,14,9,21946.046230552318,Q20020731
9266291,Antigang (film),10.0,0,134,74,-9.5529,8.426593,9266291,1,19,0.0,Q20724312
9340779,Federico Bernardeschi,12.903226,54,124,233,16.82153,-4.36815,9340779,2,7,2147.5487976935337,Q15220993
9341803,Maurizio Sarri,18.709677,54,124,233,8.109821,13.852282,9341803,4,7,17654.14769528691,Q3852721
9342738,Marco Asensio,24.516129,192,192,192,0.73494864,-15.176747,9342738,6,3,5568.5,Q16148978
9349897,Dani Ceballos,15.806452,192,192,192,-13.839075,-1.8540859,9349897,3,3,0.0,Q16972254
9387316,Championnat du monde de Formule 1 2016,39.032257,192,192,192,-21.668543,18.414932,9387316,11,17,23047.233333333337,Q17455748
9389924,Parti écologiste,30.32258,193,77,88,2.343288,5.130544,9389924,8,9,2334.965518962716,Q20927529
9436740,Coupe Davis 2016,27.419353,41,139,0,23.296087,22.931116,9436740,7,8,0.0,Q20807306
9471795,Mehdi Tahrat,12.903226,235,94,0,21.075214,-0.821127,9471795,2,3,0.0,Q21091624
9481122,Meurtres à La Rochelle,15.806452,192,192,192,12.135397,20.938148,9481122,3,4,3347.0,Q21427630
9495777,Sébastien Chenu,12.903226,0,126,172,8.477932,0.50602174,9495777,2,11,1117.0,Q21294609
9500978,Gelson Martins,27.419353,54,124,233,15.421137,-20.59842,9500978,7,7,17942.47591763695,Q17560793
9544557,The Dramatics,10.0,60,163,0,-9.835606,15.457488,9544557,1,13,0.0,Q4051054
9689417,Finnegan Oldfield,12.903226,193,77,88,18.389854,6.398205,9689417,2,9,0.0,Q21995180
9726616,Affaire Jacqueline Sauvage,10.0,193,77,88,-9.817347,18.952291,9726616,1,9,0.0,Q22247920
9730745,Benjamin Lavernhe,12.903226,0,134,74,-10.562296,-9.336049,9730745,2,19,0.0,Q22248002
9743704,Sacha Pfeiffer,10.0,192,192,192,-7.1121736,-1.2772441,9743704,1,25,0.0,Q16408046
9764876,Primaire citoyenne de 2017,30.32258,193,77,88,22.924728,1.5031676,9764876,8,9,1604.2743752306433,Q24699912
9765705,Renaud Ripart,21.612904,54,124,233,17.43947,24.426672,9765705,5,7,0.5,Q7312714
9775642,David Cormand,12.903226,193,77,88,8.232894,4.3076963,9775642,2,9,0.0,Q23058507
