Id,Label,modularity_class,Cluster,Degree,clustering
1351392,Scott_Hastings_(rugby_union),12,1,5,0.2
13937844,Mitchell_Lewis,4,4,1,0
16079566,Referendums_in_Taiwan,18,20,8,0.714286
33087916,Lamar_Miller,19,0,6,0.6
1507806,Walter_Hagen,20,4,5,0
1121254,Kevin_Harper,11,1,2,0
41138988,Ukrainian?Soviet_War,15,3,8,0.464286
827782,Lynn_Swann,19,0,11,0.054545
23404696,1996_North_Carolina_Tar_Heels_football_team,19,0,7,0.666667
48823196,Cody_Whitehair,19,0,5,0.7
2138332,Juan_Alderete,23,7,1,0
41744254,2014_Georgia_Tech_Yellow_Jackets_football_team,19,0,5,0.6
899662,Donna_Brazile,28,2,3,0.333333
7889960,Frank_McHugh,6,5,3,0
29668892,Ian_Brzezinski,3,2,5,0.6
47634312,Shaquell_Moore,11,1,1,0
55178302,Akhyar_Rashid,11,1,4,0.5
27379940,Jos?_Morais,15,3,2,0
816514,Lee_Camp_(footballer),0,1,3,0.333333
9058846,Kuldip_Singh_Chandpuri,16,8,4,0.833333
4432216,Danny_Care,12,1,4,0.333333
32298576,Emiliano_Alfaro,11,1,2,1
7687146,Col_Joye,1,11,2,1
1132612,Landsberg_Prison,15,3,3,0.333333
3509054,2_euro_commemorative_coins,15,3,1,0
13256928,Vladimir_Sokoloff,2,7,1,0
914750,Streetly,23,7,1,0
34328176,Utsuro-bune,20,4,1,0
740492,List_of_people_pardoned_by_Bill_Clinton,21,2,5,0.1
746364,Mattie_Stepanek,3,2,2,0
3455586,Gianluca_Curci,15,3,1,0
44084022,Cleveland_Browns_Radio_Network,19,0,7,0.47619
11566352,Forte_Group,1,2,3,0.333333
23477436,Rope_(film),4,4,2,1
21102134,Kendall_Waston,11,1,1,0
58874446,Shimon_Prokupecz,3,2,4,0.5
13237088,2007_Missouri_Tigers_football_team,19,0,3,0.333333
284020,List_of_Angels_in_Neon_Genesis_Evangelion,25,19,6,1
43978568,Marko_Rog,11,1,5,0.4
7322276,Nico_Ditch,14,9,13,0.397436
28625798,Jammu_and_Kashmir_Legislative_Assembly,10,10,4,0
266234,E._E._Evans-Pritchard,30,6,1,0
54393110,Prince_of_Broadway,20,4,3,0.333333
27759956,List_of_Pac-12_Conference_football_champions,19,0,4,0.333333
26541814,His_Excellency_(1952_film),23,7,1,0
15222784,List_of_football_personalities_with_British_honours,11,1,6,0.333333
40891686,Anti-Cyrillic_protests_in_Croatia,1,7,2,0
7643716,Natalie_Trundy,23,7,1,0
43771016,Hamish_Watson_(rugby_union),12,1,6,0.866667
3111602,Glenn_Whelan,11,1,2,1
36181024,Safe_Haven_(film),4,4,2,0
13061016,Glossary_of_rugby_union_terms,12,1,2,1
27635346,"Nicolae_Stanciu_(footballer,_born_1993)",11,1,1,0
5352690,Stuart_Holden,0,1,5,0.3
6134312,Electoral_district_of_Ferntree_Gully,29,6,11,1
11491036,Brooke_Rollins,3,2,4,0.5
643526,Melanie_Phillips,30,6,1,0
22485568,DeVone_Claybrooks,19,0,17,0.551471
5590290,Nigel_Green,2,7,2,0
1454940,Bill_McLaren,12,1,1,0
