,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
11633661,Bombardements_de_Barzé_et_de_Him_Shinshar,17,98.695656,235,94,0,20.005657,0.95784736,11633661,69,7,3023.0743754219793
11677114,Philippe_Paradis_(musicien),20,10.0,0,134,135,4.5490246,6.119392,11677114,1,12,0.0
11682839,Maniaplanet,3,12.608696,152,129,0,-11.230084,-4.860755,11682839,3,9,0.0
11697362,"Sauvage_(film,_2018)",11,10.0,0,168,183,17.066378,-8.969952,11697362,1,1,0.0
11711017,Martín_Campaña,16,13.913044,153,96,160,10.078614,-23.904364,11711017,4,15,0.0
11717068,Les_Terriens_du_dimanche_!,4,13.913044,60,163,0,-11.570709,13.928938,11717068,4,5,25893.8333333331
11727305,Grenade_GLI-F4,19,10.0,185,97,239,-13.001438,21.348705,11727305,1,5,0.0
11727596,Carolina_de_Salvo,0,10.0,235,44,170,-12.879639,-8.223598,11727596,1,2,0.0
11770071,Bataille_de_Boukamal_(2018),10,49.130432,114,121,10,-2.3175023,-5.139824,11770071,31,13,13.753883450369177
11800481,Demba_Bamba,6,16.52174,0,126,172,14.42769,-21.820293,11800481,6,11,3.043589743589744
11803143,Offensive_de_Deraa,17,96.08696,235,94,0,-4.5429115,17.536959,11803143,67,7,5956.148177948837
11807056,Nemanja_Radonjić,9,13.913044,255,42,47,-12.594133,-2.241699,11807056,4,0,852.5299999999803
11842163,Ma_reum,13,10.0,0,134,74,22.5116,-13.481378,11842163,1,17,0.0
11858890,Billy_Eichner,11,10.0,0,168,183,-19.050308,-17.565332,11858890,1,8,0.0
11867194,Attaques_de_Soueïda,10,54.347828,114,121,10,-24.125359,9.103148,11867194,35,13,18107.925925085437
11870690,Charlotte_Girard,4,10.0,60,163,0,13.031966,16.65795,11870690,1,6,0.0
11875409,Félix_Maritaud,11,11.304348,0,168,183,-1.1247569,24.591005,11875409,2,1,1049.0
11959345,Coupe_Davis_2019,13,17.826088,0,134,74,-1.0292766,2.807787,11959345,7,17,61.30867519735243
11990247,Phase_de_groupes_de_la_Ligue_Europa_2018-2019,9,20.434784,255,42,47,-1.4102037,12.238665,11990247,9,0,4516.901493506473
12039442,Cyrus_de_Panopolis,18,11.304348,41,139,0,-0.42415595,15.638081,12039442,2,18,0.0
12071255,Séparatisme_dans_les_îles_Faichuk,1,16.52174,175,95,13,21.79453,4.2159176,12071255,6,14,1049.0
12076153,Paul_Lefèvre_(acteur),11,10.0,0,168,183,-7.250084,13.924475,12076153,1,1,0.0
12085027,Les_Chroniques_de_Noël,11,11.304348,0,168,183,-7.101909,18.92015,12085027,2,8,1049.0
12115780,Pierre_Fitzgibbon,4,10.0,60,163,0,-17.427887,-21.428486,12115780,1,6,0.0
12123951,Sauver_ou_périr_(film),1,10.0,175,95,13,14.9499445,-20.620354,12123951,1,14,0.0
12134091,Lévan_Zourabichvili,9,11.304348,255,42,47,6.2679977,0.43800846,12134091,2,4,0.0
