Id,Qid,topic,probability,page_title,wiki_db,Modularity Class,Label
14097,Q627531,History_and_Society.History,0.8,History_of_Asia,enwiki,10.0,Victoria election (Autralia)
14097,Q627531,History_and_Society.Society,0.69,History_of_Asia,enwiki,10.0,Victoria election (Autralia)
14097,Q627531,Geography.Geographical,0.64,History_of_Asia,enwiki,10.0,Victoria election (Autralia)
49108686,Q42303600,Culture.Biography.Biography*,1.0,Edon_Zhegrova,enwiki,11.0,Football
55595909,Q42303600,Culture.Biography.Biography*,1.0,Edon_Zhegrova,enwiki,11.0,Football
49108686,Q42303600,Culture.Sports,0.97,Edon_Zhegrova,enwiki,11.0,Football
55595909,Q42303600,Culture.Sports,0.97,Edon_Zhegrova,enwiki,11.0,Football
49108686,Q42303600,Geography.Regions.Europe.Southern_Europe,0.51,Edon_Zhegrova,enwiki,11.0,Football
55595909,Q42303600,Geography.Regions.Europe.Southern_Europe,0.51,Edon_Zhegrova,enwiki,11.0,Football
56172515,Q47005837,Culture.Biography.Biography*,0.99,Marcell_Ateman,enwiki,2.0,Canadian Football
56172515,Q47005837,Culture.Sports,0.93,Marcell_Ateman,enwiki,2.0,Canadian Football
54643153,Q6494268,Culture.Media.Music,1.0,Last_Dance_(Donna_Summer_song),enwiki,3.0,The Lion King Announcement
4394421,Q6494268,Culture.Media.Music,1.0,Last_Dance_(Donna_Summer_song),enwiki,3.0,The Lion King Announcement
54643153,Q6494268,Culture.Media.Media*,1.0,Last_Dance_(Donna_Summer_song),enwiki,3.0,The Lion King Announcement
4394421,Q6494268,Culture.Media.Media*,1.0,Last_Dance_(Donna_Summer_song),enwiki,3.0,The Lion King Announcement
35380343,Q6289409,Culture.Biography.Biography*,0.99,Josh_Strauss,enwiki,0.0,Irish Rubgy Championship
35380343,Q6289409,Culture.Sports,0.76,Josh_Strauss,enwiki,0.0,Irish Rubgy Championship
14315121,Q494073,STEM.Engineering,1.0,Chevrolet_Cruze,enwiki,8.0,Space missions
14315121,Q494073,History_and_Society.Transportation,0.99,Chevrolet_Cruze,enwiki,8.0,Space missions
14315121,Q494073,STEM.STEM*,0.99,Chevrolet_Cruze,enwiki,8.0,Space missions
1147165,Q16182993,Culture.Literature,0.99,Kaworu_Nagisa,enwiki,3.0,The Lion King Announcement
1147165,Q16182993,Culture.Visual_arts.Visual_arts*,0.85,Kaworu_Nagisa,enwiki,3.0,The Lion King Announcement
1147165,Q16182993,Culture.Visual_arts.Comics_and_Anime,0.82,Kaworu_Nagisa,enwiki,3.0,The Lion King Announcement
8930109,Q3569064,Culture.Biography.Biography*,0.99,Willie_Best,enwiki,3.0,The Lion King Announcement
6345605,Q138839,Culture.Sports,1.0,Wayne_Hennessey,enwiki,11.0,Football
6345605,Q138839,Culture.Biography.Biography*,0.99,Wayne_Hennessey,enwiki,11.0,Football
3025579,Q7446325,History_and_Society.Society,1.0,Segregation_academy,enwiki,2.0,Canadian Football
3025579,Q7446325,Culture.Biography.Biography*,1.0,Segregation_academy,enwiki,2.0,Canadian Football
3025579,Q7446325,History_and_Society.Education,0.99,Segregation_academy,enwiki,2.0,Canadian Football
3025579,Q7446325,Geography.Regions.Americas.North_America,0.79,Segregation_academy,enwiki,2.0,Canadian Football
8039035,Q680217,Culture.Media.Television,1.0,Portugal_in_the_Junior_Eurovision_Song_Contest,enwiki,6.0,Ukraine
8039035,Q680217,Culture.Media.Media*,1.0,Portugal_in_the_Junior_Eurovision_Song_Contest,enwiki,6.0,Ukraine
8039035,Q680217,Geography.Regions.Europe.Southern_Europe,0.97,Portugal_in_the_Junior_Eurovision_Song_Contest,enwiki,6.0,Ukraine
8039035,Q680217,Geography.Regions.Europe.Europe*,0.95,Portugal_in_the_Junior_Eurovision_Song_Contest,enwiki,6.0,Ukraine
2399843,Q10857098,Culture.Sports,1.0,Jim_Iley,enwiki,11.0,Football
2399843,Q10857098,Culture.Biography.Biography*,0.99,Jim_Iley,enwiki,11.0,Football
10792059,Q7246451,Geography.Regions.Asia.Asia*,1.0,Priya_(1978_film),enwiki,3.0,The Lion King Announcement
10792059,Q7246451,Geography.Regions.Asia.South_Asia,1.0,Priya_(1978_film),enwiki,3.0,The Lion King Announcement
10792059,Q7246451,Culture.Media.Films,1.0,Priya_(1978_film),enwiki,3.0,The Lion King Announcement
