,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
715,10.0,3553222.0,Valtteri Bottas,24.0,0.99745911359787,Q138745,Culture.Sports,116.0,6075.535603921624,157.0,18.0,0.0,35.3125,19.651003,-3.6726985,2604.0,9.9745911359787,Culture,Sports
716,1.0,3577068.0,Clément Turpin,2.0,0.9966334104537964,Q1103944,Culture.Sports,0.0,0.0,94.0,0.0,235.0,10.0,-22.693245,20.093020000000006,5128.0,0.9966334104537964,Culture,Sports
717,4.0,3587946.0,Stade de la Mosson,19.0,0.9883227348327636,Q815833,Geography.Regions.Europe.Europe*,88.0,1000.4568917318612,77.0,12.0,193.0,18.4375,-20.597707999999997,10.111118,2525.0,3.9532909393310542,Geography,Europe*
718,1.0,3592780.0,Yannis Salibur,19.0,0.996837317943573,Q3571834,Culture.Biography.Biography*,88.0,0.0,77.0,12.0,193.0,10.0,-8.445066,12.815611,2190.0,0.996837317943573,Culture,Biography*
719,1.0,3596576.0,Catherine Marchal,15.0,0.9966334104537964,Q2941993,Culture.Biography.Biography*,160.0,0.0,96.0,6.0,153.0,10.0,-3.8276675000000004,20.122032,2411.0,0.9966334104537964,Culture,Biography*
720,4.0,3640873.0,François Feroleto,15.0,0.9916942119598388,Q3084605,Culture.Biography.Biography*,160.0,4455.226029528127,96.0,9.0,153.0,18.4375,10.200335,-13.976215,3049.0,3.966776847839355,Culture,Biography*
721,3.0,3663991.0,Alexis Zorba,14.0,0.9715740084648132,Q1059553,Culture.Media.Books,170.0,6.333333333333332,44.0,7.0,235.0,15.625,23.642483,-0.6496453000000001,3835.0,2.9147220253944397,Culture,Books
722,4.0,3744156.0,Le Retour des sept,14.0,0.9952548146247864,Q1215878,Culture.Media.Films,170.0,9246.667334595088,44.0,7.0,235.0,18.4375,13.412623000000002,-4.6312857,1611.0,3.9810192584991455,Culture,Films
723,3.0,3744176.0,Les Colts des sept mercenaires,14.0,0.9960646033287048,Q1000826,Culture.Media.Media*,170.0,0.0,44.0,7.0,235.0,15.625,-11.499310000000001,3.1506045,1044.0,2.9881938099861145,Culture,Media*
724,3.0,3744186.0,La Chevauchée des sept mercenaires,14.0,0.991162657737732,Q2563598,Culture.Media.Films,170.0,0.0,44.0,7.0,235.0,15.625,-12.846422,-15.310559,984.0,2.9734879732131962,Culture,Films
725,1.0,3763870.0,Mafia albanaise,25.0,0.960371196269989,Q1538436,History_and_Society.Politics_and_government,47.0,0.0,42.0,13.0,255.0,10.0,21.813648,-5.7955565,2116.0,0.960371196269989,History_and_Society,Politics_and_government
726,1.0,3779676.0,Mademoiselle Navarro,8.0,0.9263137578964232,Q3275933,Culture.Media.Media*,0.0,0.0,163.0,4.0,60.0,10.0,-3.7758026,-6.3460160000000005,866.0,0.9263137578964232,Culture,Media*
727,29.0,3781422.0,Rory McIlroy,5.0,0.9985549449920654,Q380613,Culture.Biography.Biography*,0.0,13039.874236712116,129.0,10.0,152.0,88.75,22.923273000000002,-4.296837,12024.0,28.958093404769897,Culture,Biography*
728,1.0,3788161.0,Roland Castro (architecte),9.0,0.9914325475692748,Q3439989,Culture.Biography.Biography*,183.0,0.0,168.0,6.0,0.0,10.0,-6.839693,-17.55023,1210.0,0.9914325475692748,Culture,Biography*
729,3.0,3808936.0,Daniel Sturridge,2.0,1.0000100135803225,Q222231,Culture.Biography.Biography*,0.0,0.0,94.0,0.0,235.0,15.625,17.029282000000002,23.56,13860.0,3.0000300407409677,Culture,Biography*
730,1.0,3813812.0,Kévin Le Roux,18.0,0.9924327731132508,Q3201162,Culture.Biography.Biography*,10.0,0.0,121.0,19.0,114.0,10.0,-4.946065,9.097953,1767.0,0.9924327731132508,Culture,Biography*
731,1.0,3847025.0,Famille Japy,11.0,0.5544804334640503,Q3065230,Culture.Biography.Biography*,172.0,0.0,126.0,11.0,0.0,10.0,15.745528,-7.3556475999999975,1345.0,0.5544804334640503,Culture,Biography*
