,Qid,topic,probability,page_id,page_title,wiki_db,Modularity_Class
4519,Q5044274,Culture.Biography.Biography*,1.0,8476190,Carol_Bruce,enwiki,3.0
4520,Q16149378,Culture.Biography.Biography*,1.0,40522806,David_Leyonhjelm,enwiki,10.0
4521,Q16149378,Geography.Regions.Oceania,1.0,40522806,David_Leyonhjelm,enwiki,10.0
4522,Q1064827,Culture.Biography.Biography*,0.99,1687108,Tim_Holt,enwiki,3.0
4523,Q28452515,Culture.Media.Music,1.0,52118306,DC4_(mixtape),enwiki,0.0
4524,Q28452515,Culture.Media.Media*,1.0,52118306,DC4_(mixtape),enwiki,0.0
4525,Q3629885,Culture.Biography.Biography*,0.99,620342,Manohar_Joshi,enwiki,6.0
4526,Q3629885,Geography.Regions.Asia.South_Asia,0.96,620342,Manohar_Joshi,enwiki,6.0
4527,Q3629885,Geography.Regions.Asia.Asia*,0.91,620342,Manohar_Joshi,enwiki,6.0
4528,Q21662922,Culture.Biography.Biography*,1.0,48727034,Judith_Gough,enwiki,11.0
4529,Q48797819,STEM.Space,1.0,55802175,Seismic_Experiment_for_Interior_Structure,enwiki,8.0
4530,Q48797819,STEM.STEM*,1.0,55802175,Seismic_Experiment_for_Interior_Structure,enwiki,8.0
4531,Q48797819,History_and_Society.Transportation,1.0,55802175,Seismic_Experiment_for_Interior_Structure,enwiki,8.0
4532,Q48797819,STEM.Technology,1.0,55802175,Seismic_Experiment_for_Interior_Structure,enwiki,8.0
4533,Q1279767,Culture.Biography.Biography*,1.0,1353027,Louis_Hayward,enwiki,3.0
4534,Q5270905,Geography.Regions.Americas.North_America,0.72,34231805,Diamond_Resorts,enwiki,3.0
4535,Q5270905,History_and_Society.Business_and_economics,0.71,34231805,Diamond_Resorts,enwiki,3.0
4536,Q6377133,Culture.Biography.Biography*,1.0,18399729,Kathryn_Tappen,enwiki,2.0
4537,Q6377133,Geography.Regions.Americas.North_America,0.58,18399729,Kathryn_Tappen,enwiki,2.0
4538,Q654170,Culture.Literature,1.0,2300127,Third_Girl,enwiki,12.0
4539,Q654170,Culture.Media.Books,1.0,2300127,Third_Girl,enwiki,12.0
4540,Q654170,Culture.Biography.Women,1.0,2300127,Third_Girl,enwiki,12.0
4541,Q654170,Culture.Biography.Biography*,1.0,2300127,Third_Girl,enwiki,12.0
4542,Q654170,Culture.Media.Media*,0.99,2300127,Third_Girl,enwiki,12.0
4543,Q16728134,Culture.Biography.Biography*,0.85,40390329,Kevin_M._Downing,enwiki,9.0
4544,Q16728134,Geography.Regions.Americas.North_America,0.52,40390329,Kevin_M._Downing,enwiki,9.0
4545,Q847468,Culture.Biography.Biography*,1.0,4276567,Roger_Allers,enwiki,3.0
4546,Q55080775,Culture.Biography.Biography*,0.99,57692313,Erika_Henningsen,enwiki,12.0
