,Qid,topic,probability,page_id,page_title,modularity_class,wiki_db
6736,Q22022704,Culture.Sports,0.9928885698318481,48447577,2016 Houston Texans season,2,enwiki
6737,Q22022704,Geography.Regions.Americas.North_America,0.4556442370414734,48447577,2016 Houston Texans season,2,enwiki
6738,Q4275622,Culture.Biography.Biography*,1.0000100135803223,16998931,John McDermott,6,enwiki
6739,Q4275622,Culture.Sports,0.9841036200523376,16998931,John McDermott,6,enwiki
6740,Q4275622,Geography.Regions.Europe.Northern_Europe,0.25966064834594726,16998931,John McDermott,6,enwiki
6741,Q4275622,Geography.Regions.Europe.Europe*,0.13604079389572143,16998931,John McDermott,6,enwiki
6742,Q3605610,Culture.Biography.Biography*,0.9992059469223022,25761927,Adrian Clayborn,2,enwiki
6743,Q3605610,Culture.Sports,0.9960646033287048,25761927,Adrian Clayborn,2,enwiki
6744,Q2849647,Compilation.List_Disambig,1.0,17084887,History of rugby union matches between Australia and England,0,enwiki
6745,Q2849647,Culture.Sports,0.7931159734725952,17084887,History of rugby union matches between Australia and England,0,enwiki
6746,Q2849647,Geography.Regions.Oceania,0.4942548146247864,17084887,History of rugby union matches between Australia and England,0,enwiki
6747,Q991055,Geography.Regions.Europe.Europe*,0.9939124584197998,634847,Milford Haven,10,enwiki
6748,Q991055,Geography.Regions.Europe.Northern_Europe,0.9886782765388489,634847,Milford Haven,10,enwiki
6749,Q1999454,Culture.Biography.Biography*,0.9893575310707092,742611,Tana Umaga,0,enwiki
6750,Q1999454,Geography.Regions.Oceania,0.37648682498931885,742611,Tana Umaga,0,enwiki
6751,Q4877841,Culture.Media.Music,0.9890230894088745,38564167,Beautiful World,12,enwiki
6752,Q4877841,Culture.Media.Media*,0.9802908897399902,38564167,Beautiful World,12,enwiki
6753,Q3299444,Culture.Sports,1.0000100135803223,3103101,Matt Dunigan,2,enwiki
6754,Q3299444,Culture.Biography.Biography*,0.9980832934379578,3103101,Matt Dunigan,2,enwiki
6755,Q3299444,Geography.Regions.Americas.North_America,0.39231942796707153,3103101,Matt Dunigan,2,enwiki
6756,Q6146928,Culture.Biography.Biography*,0.9967369437217712,31746851,Jamie George,0,enwiki
6757,Q6146928,Culture.Sports,0.8267217874526978,31746851,Jamie George,0,enwiki
6758,Q417685,Geography.Regions.Asia.West_Asia,0.46490960025787353,18938425,Akhisar Belediyespor,6,enwiki
6759,Q417685,Geography.Regions.Asia.Asia*,0.459371196269989,18938425,Akhisar Belediyespor,6,enwiki
6760,Q242656,Culture.Biography.Biography*,1.0000100135803223,287485,Madeleine Carroll,3,enwiki
6761,Q242656,Culture.Biography.Women,0.8706072568893433,287485,Madeleine Carroll,3,enwiki
6762,Q242656,History_and_Society.History,0.6370407938957214,287485,Madeleine Carroll,3,enwiki
6763,Q7373024,Culture.Biography.Biography*,0.9579222798347473,558295,Roy Kellerman,3,enwiki
6764,Q7373024,Geography.Regions.Americas.North_America,0.24217800998687744,558295,Roy Kellerman,3,enwiki
6765,Q13562636,Culture.Biography.Biography*,1.0000100135803223,39024639,Sarah Kustok,2,enwiki
6766,Q13562636,Culture.Biography.Women,1.0000100135803223,39024639,Sarah Kustok,2,enwiki
6767,Q13562636,Culture.Sports,0.9879562258720398,39024639,Sarah Kustok,2,enwiki
6768,Q13562636,Geography.Regions.Americas.North_America,0.42531375789642334,39024639,Sarah Kustok,2,enwiki
6769,Q18706275,Compilation.List_Disambig,1.0,44401343,list of Minnesota Golden Gophers bowl games,2,enwiki
6770,Q16147729,Compilation.List_Disambig,1.0,24810205,list of Chicago Bears broadcasters,2,enwiki
6771,Q2963340,History_and_Society.Education,0.6584275364875793,1488123,Chicago Public Schools,9,enwiki
6772,Q2963340,Geography.Regions.Americas.North_America,0.459371196269989,1488123,Chicago Public Schools,9,enwiki
6773,Q4702950,Culture.Media.Video_games,0.9841036200523376,2723081,Corrupted Blood incident,10,enwiki
6774,Q4702950,Culture.Internet_culture,0.9755869507789612,2723081,Corrupted Blood incident,10,enwiki
6775,Q4702950,Culture.Media.Media*,0.9648651480674744,2723081,Corrupted Blood incident,10,enwiki
6776,Q472386,Culture.Biography.Biography*,0.9966334104537964,28649531,Liam Boyce,11,enwiki
6777,Q472386,Culture.Sports,0.9770326614379883,28649531,Liam Boyce,11,enwiki
6778,Q472386,Geography.Regions.Europe.Europe*,0.4780457487106323,28649531,Liam Boyce,11,enwiki
6779,Q472386,Geography.Regions.Europe.Northern_Europe,0.4501522054672241,28649531,Liam Boyce,11,enwiki
6780,Q40024,History_and_Society.Society,0.59267657995224,4301459,Satellite Award,9,enwiki
6781,Q40024,Culture.Media.Media*,0.546748161315918,4301459,Satellite Award,9,enwiki
6782,Q334842,Culture.Biography.Biography*,0.9988405108451843,989749,Marvin Harris,5,enwiki
6783,Q334842,Culture.Philosophy_and_religion,0.8267217874526978,989749,Marvin Harris,5,enwiki
6784,Q334842,History_and_Society.Society,0.7431780099868774,989749,Marvin Harris,5,enwiki
6785,Q334842,History_and_Society.History,0.6297846436500549,989749,Marvin Harris,5,enwiki
6786,Q334842,Geography.Regions.Americas.North_America,0.06118653917312622,989749,Marvin Harris,5,enwiki
6787,Q7766793,Culture.Media.Media*,0.9867871999740601,34166203,The Story of Santa Claus,3,enwiki
6788,Q7766793,Culture.Philosophy_and_religion,0.9637899398803711,34166203,The Story of Santa Claus,3,enwiki
6789,Q7766793,Culture.Media.Television,0.8840492963790894,34166203,The Story of Santa Claus,3,enwiki
