,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
4861797,Sixième circonscription des Français établis hors de France,8,10.0,0,126,172,18.660494,-9.321541,4861797,1,12,0.0,Q1103423
4922434,Melty,4,11.153846,235,94,0,-24.638065,9.637928,4922434,2,1,1103.0,Q3305289
4958193,Le Triporteur de Belleville,14,11.153846,60,163,0,17.069845,6.321879,4958193,2,2,1103.0,Q3227844
4990632,Idrissa Gueye,1,11.153846,0,164,49,-6.640832,-5.028589,4990632,2,7,1103.0,Q46679
5003481,Liste des fabricants de bicyclettes,1,11.153846,0,164,49,0.09887968,16.788916,5003481,2,7,12335.635627328782,Q953630
5009148,Pikes Peak International Hill Climb,17,10.0,54,124,233,-21.555017,21.216318,5009148,1,6,0.0,Q2092059
5026896,4 mots sur un piano,4,12.307693,235,94,0,-14.364567,-17.743458,5026896,3,1,0.0,Q3413496
5053734,Judith El Zein,14,11.153846,60,163,0,-19.685894,7.4271307,5053734,2,4,0.0,Q3187992
5055483,Le Prénom,14,12.307693,60,163,0,-23.242884,20.299799,5055483,3,4,0.5,Q3226052
5077278,Miss Excellence France,2,18.076923,0,168,183,17.37476,19.254786,5077278,8,9,26.877077835878435,Q3316593
5078211,Christiane Lillio,2,93.07693,0,168,183,-7.680665,-6.0630336,5078211,73,9,1424.1052886760342,Q2965781
5078413,Isabelle Krumacker,2,89.61538,0,168,183,4.419674,-7.1597605,5078413,70,9,63.40634527772385,Q3154957
5078460,Edna Tepava,2,89.61538,0,168,183,-17.725597,22.820778,5078460,70,9,132.8630358873101,Q3719506
5078493,Monique Uldaric,2,88.46154,0,168,183,-5.9250245,9.934413,5078493,69,9,50.22393504243586,Q3320946
5078796,Thilda Fuller,2,88.46154,0,168,183,19.718634,0.09323648,5078796,69,9,50.22393504243586,Q3524622
5078882,Isabelle Turpault,2,87.30769,0,168,183,3.9098167,15.049818,5078882,68,9,0.0,Q3155045
5096906,Lana Wood,0,11.153846,193,77,88,-8.660095,-7.570601,5096906,2,5,0.0,Q242749
5105726,Ina Balin,0,10.0,193,77,88,22.707151,-12.663748,5105726,1,5,0.0,Q510363
5147801,Christopher Hache,17,10.0,54,124,233,-8.402363,13.718533,5147801,1,6,0.0,Q2966590
5156156,Miss France 2001,2,89.61538,0,168,183,-18.196266,-16.132769,5156156,70,9,144.8038014912412,Q3316472
5156159,Miss France 2002,2,89.61538,0,168,183,-16.578661,11.84034,5156159,70,9,10878.171423028334,Q3316473
5168218,Papy Djilobodji,1,11.153846,0,164,49,-18.600746,1.0065413,5168218,2,7,2204.0,Q3362956
5174869,Vinci Airports,8,10.0,0,126,172,15.746237,11.566567,5174869,1,7,0.0,Q3559968
5182780,Léopold II (empereur du Saint-Empire),19,22.692308,235,44,170,2.9380276,-15.449412,5182780,12,11,1049.8252561083277,Q151321
5227057,Dame de pique (téléfilm),14,10.0,60,163,0,-18.129335,18.586922,5227057,1,4,0.0,Q3012660
5234314,Didier Lacroix,15,15.769232,185,97,239,22.128635,5.6647763,5234314,6,8,1.8060606060606057,Q3027059
5241510,Marie-Élisabeth de Habsbourg-Lorraine,19,19.23077,235,44,170,22.070387,21.256273,5241510,9,11,692.2763699851497,Q236924
5254108,Guillaume Saurina,9,10.0,0,157,116,-11.963711,20.631998,5254108,1,18,0.0,Q1553919
5264514,Christiane Millet,7,10.0,255,42,47,3.8201623,-2.3785505,5264514,1,2,0.0,Q2965785
5271859,Miss France 2010,2,90.76923,0,168,183,6.027063,16.899086,5271859,71,9,675.7865037337414,Q3316493
5271943,Miss France 2009,2,93.07693,0,168,183,-18.220276,20.199903,5271943,73,9,4533.942402748821,Q3316488
5272472,Michèle Barrière,6,10.0,152,129,0,12.820749,-18.445276,5272472,1,16,0.0,Q3311565
5285512,Comptabilité,15,11.153846,185,97,239,20.157043,23.56259,5285512,2,8,1103.0,Q4116214
5331639,Anaïs Bescond,18,16.923077,0,148,245,23.921776,11.951089,5331639,7,7,2745.5,Q271238
5437797,Jack le chasseur de géants,14,12.307693,60,163,0,18.416058,23.679693,5437797,3,0,7685.0,Q27513
5439947,Maurice Auzel,17,10.0,54,124,233,15.568641,-16.188698,5439947,1,6,0.0,Q3300341
