,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
172348,Équipe_de_Grèce_de_football,33.225807,235,94,0,3.9635873,-5.679923,172348,9,3,61.30711022424577
174281,Marie-José_Pérec,12.903226,193,77,88,22.735023,2.591902,174281,2,9,0.0
174287,Yves_Lecoq,15.806452,0,134,74,-3.662877,-6.112242,174287,3,19,3234.761368844622
176406,Gérard_Blain,12.903226,255,42,47,21.923203,17.601786,176406,2,1,1117.0
176510,Jacqueline_Joubert,10.0,192,192,192,5.1699524,5.2134404,176510,1,12,0.0
178418,Unione_Calcio_Sampdoria,24.516129,54,124,233,-24.042637,3.6583233,178418,6,7,2870.3767336464703
179991,Saint_Grégoire,10.0,192,192,192,-20.834974,13.153032,179991,1,2,0.0
180103,Angelo_Mariani_(pharmacien),18.709677,60,163,0,19.040642,-19.960407,180103,4,4,3345.5
181882,Adam_Clayton,15.806452,60,163,0,8.307044,-24.5623,181882,3,13,0.0
182442,Chris_Evert,33.225807,0,164,49,-9.587756,-18.865091,182442,9,14,28890.15073801855
182616,Fred_Perry,21.612904,0,164,49,-9.656711,21.84254,182616,5,14,5565.666666666666
184134,Empire_colonial,18.709677,60,163,0,-24.691122,-10.774933,184134,4,13,7682.274489785612
186308,Yitzhak_Shamir,15.806452,152,129,0,8.8510475,-12.308365,186308,3,6,371.66666666667686
186615,Rugby_club_toulonnais,33.225807,0,160,220,16.65772,-20.324884,186615,9,23,33.9357142857143
194012,Jacqueline_Maillan,10.0,0,134,135,-10.116116,5.1943235,194012,1,12,0.0
194717,Équipe_de_Suisse_de_football,62.258064,235,94,0,-22.906813,-17.006315,194717,19,3,8310.314266703157
197350,Fernand_Sardou,18.709677,0,134,135,17.993183,18.030273,197350,4,12,0.0
197351,Jackie_Sardou,24.516129,0,134,135,18.160507,-18.454077,197351,6,12,9147.305768128235
198049,Anne_Wiazemsky,18.709677,193,77,88,-0.31074435,-0.79047,198049,4,9,4456.0
199674,Liste_des_ministres_français_de_la_Jeunesse_et_des_Sports,56.45161,193,77,88,-17.38258,-13.905676,199674,17,9,3138.407594089649
200904,Harry_Dean_Stanton,10.0,152,129,0,-2.095462,-19.032158,200904,1,6,0.0
208096,Renault_F1_Team,36.129032,192,192,192,24.36514,-13.770832,208096,10,17,836.1166666666666
208149,Felipe_Massa,18.709677,192,192,192,9.16126,12.570236,208149,4,17,0.0
209099,Conan_le_Barbare_(film),21.612904,192,192,192,-15.998896,-16.888351,209099,5,25,7793.0
209307,McLaren_MP4-20,12.903226,192,192,192,-7.982542,22.014898,209307,2,17,0.0
209788,Jean_Grémillon,12.903226,0,168,183,6.258029,15.347163,209788,2,5,276.9022283272281
211094,Rêve_américain,10.0,60,163,0,16.062164,-7.9231925,211094,1,13,0.0
212649,Équipe_du_pays_de_Galles_de_football,41.935482,235,94,0,18.512419,-20.096205,212649,12,3,5563.583687337392
213286,Équipe_du_Luxembourg_de_football,41.935482,235,94,0,-3.1310904,-3.3722112,213286,12,3,4861.4604750322305
215313,Pattaya,10.0,0,164,49,-7.098852,-18.508066,215313,1,14,0.0
215606,Circuit_de_Spa-Francorchamps,12.903226,192,192,192,5.1204123,1.173373,215606,2,17,0.0
216902,Équipe_du_Liechtenstein_de_football,39.032257,235,94,0,13.845835,-22.462425,216902,11,3,138.4678742508296
217130,Équipe_de_Saint-Marin_de_football,44.838707,235,94,0,24.584497,0.7489748,217130,13,3,5761.950223676344
217776,Nicole_Croisille,15.806452,0,134,74,-8.0860815,0.35614672,217776,3,19,3992.411368844625
217815,Parme_Calcio_1913,24.516129,54,124,233,10.396053,-4.7545905,217815,6,7,40687.13279016271
217936,Équipe_de_Turquie_de_football,41.935482,235,94,0,-8.393961,2.0978503,217936,12,3,18223.52113159244
220013,Le_Manège_enchanté,15.806452,192,192,192,6.7096252,-16.807062,220013,3,12,4456.0
220155,Équipe_de_Slovaquie_de_football,12.903226,235,94,0,-12.898621,15.462394,220155,2,3,1.5273809523809525
220721,Équipe_de_Bosnie-Herzégovine_de_football,24.516129,235,94,0,-14.469499,15.806065,220721,6,3,7783.0
221734,Le_Groupe_(série_télévisée),18.709677,192,192,192,-11.117632,8.698221,221734,4,12,3168.9826927203508
223455,"Les_Aventuriers_(film,_1967)",10.0,152,129,0,-10.307115,9.065913,223455,1,6,0.0
223542,Parti_social-démocrate_suédois_des_travailleurs,36.129032,175,95,13,8.612244,5.5201106,223542,10,13,1164.3500000000129
223669,Régine_Deforges,18.709677,193,77,88,-21.143093,8.251153,223669,4,9,1117.0
227493,"Massacres_de_Sétif,_Guelma_et_Kherrata",47.741936,0,126,172,-20.604382,-15.083772,227493,14,11,2589.7776098962145
230662,Claire_Denis,15.806452,185,97,239,8.571698,-8.526126,230662,3,10,2233.0
233421,T-90,12.903226,60,163,0,2.4468975,2.156627,233421,2,2,0.0
233546,Guillaume_Larrivé,15.806452,193,77,88,13.132245,-16.369171,233546,3,9,0.0
236217,Mohammed_Atta,44.838707,153,96,160,-22.092152,2.6914046,236217,13,16,0.9155859917677621
236367,Stade_olympique_de_Munich,12.903226,235,94,0,-5.5743074,22.54075,236367,2,3,712.1333333333513
236885,Docteur_Octopus,24.516129,185,97,239,5.1609535,-17.408972,236885,6,10,0.0
238826,Mick_Jones,18.709677,0,157,116,3.923891,-3.5657284,238826,4,21,2197.04214261832
239578,Mahamadou_Diarra,12.903226,0,148,245,-11.010541,-11.60847,239578,2,15,2232.0
240681,Cherokees,15.806452,152,129,0,-17.85799,-23.188711,240681,3,22,41062.483094389296
245159,Magali_Noël,10.0,0,168,183,-9.824039,-23.486723,245159,1,21,0.0
245166,Alexandre_Breffort,10.0,0,134,74,24.571257,4.7352905,245166,1,19,0.0
252582,Modérés_(Suède),33.225807,175,95,13,20.902613,-9.489771,252582,9,13,885.599999999984
255389,Jean_Asselborn,10.0,0,134,74,-1.3395392,8.425559,255389,1,19,0.0
260536,Larry_Mullen_Junior,18.709677,60,163,0,3.6946647,1.0438293,260536,4,13,1299.602096510304
261128,Sergi_Bruguera,10.0,41,139,0,9.702435,-16.851627,261128,1,8,0.0
261488,Émile_Ntamack,10.0,0,160,220,-4.913805,-4.834095,261488,1,23,0.0
261712,Danny_Blind,18.709677,0,148,245,8.494346,14.202115,261712,4,15,247.04098124098218
262738,Bob_Woodward,12.903226,152,129,0,-2.0373769,-1.7803699,262738,2,6,0.0
263198,François_Corbier,18.709677,192,192,192,4.553123,18.865267,263198,4,12,6448.627565205067
263686,Match_de_football_France_–_RFA_(1982),12.903226,235,94,0,23.378197,-1.6686851,263686,2,3,2232.0
264440,Julien_Benneteau,39.032257,41,139,0,-8.205871,19.591887,264440,11,8,1003.5131095064266
267750,Les_Hommes_du_président_(film),15.806452,152,129,0,-13.3733425,17.234802,267750,3,6,2232.0
