,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
629925,"Monsieur_(film,_1964)",4,10.0,0,148,245,17.209688,20.093655,629925,1,4,0.0
633162,Elsa_Fayer,9,18.4375,0,168,183,7.8871393,-4.869359,633162,4,6,2165.3378941925275
638845,Didier_Lestrade,11,12.8125,0,126,172,-13.759802,-0.48956525,638845,2,11,1153.0
647276,Claire_Borotra,6,15.625,192,192,192,2.1452754,-7.357846,647276,3,6,1153.0
647963,Camp_de_Drancy,21,18.4375,253,0,107,-15.364947,20.229319,647963,4,14,9083.286170919722
649710,Claudius_Dornier,4,18.4375,0,148,245,-11.920341,17.295286,649710,4,13,0.0
649718,Dornier_Do_31,4,24.0625,0,148,245,-12.712144,12.104655,649718,6,13,287.5
650252,Dornier,4,24.0625,0,148,245,13.032116,15.2254715,650252,6,13,287.5
650318,Dornier_Do_X,4,24.0625,0,148,245,-16.709955,-2.9077537,650318,6,13,287.5
654588,Un_héros_très_discret,22,10.0,0,134,135,-13.563371,18.01086,654588,1,8,0.0
657102,Sandra_Lou,1,10.0,192,192,192,3.1351018,8.080927,657102,1,15,0.0
660621,Ludovic_Obraniak,19,12.8125,193,77,88,0.91784257,-0.77801657,660621,2,12,1153.0
665464,Stade_de_Roudourou,21,10.0,253,0,107,16.409298,20.57366,665464,1,14,0.0
665700,Territoire_du_Dakota,3,15.625,192,192,192,-22.489292,15.096151,665700,3,5,6.0
680895,Catherine_Hiegel,9,26.875,0,168,183,23.157776,19.07389,680895,7,6,69532.11681832616
683409,Françoise_Dorin,8,35.3125,60,163,0,16.27195,6.887777,683409,10,4,5485.6889470955275
689171,François_Bégaudeau,11,15.625,0,126,172,7.750498,-16.843287,689171,3,11,21763.99111216762
693027,Signes_(film),13,10.0,185,97,239,10.67122,-11.529941,693027,1,8,0.0
695662,Cartman_(animateur),9,10.0,0,168,183,15.031343,-12.8200445,695662,1,6,0.0
696727,David_Caruso,14,10.0,235,44,170,-1.1143873,24.702023,696727,1,7,0.0
696930,Laurent_Mariotte,9,12.8125,0,168,183,-13.1910715,-7.1851215,696930,2,6,0.0
697131,Béret_vert,14,10.0,235,44,170,-21.253872,-16.639202,697131,1,7,0.0
697744,Rémy_Sarrazin,9,18.4375,0,168,183,1.4849814,-2.695505,697744,4,8,0.0
702350,Loïc_Perrin,19,18.4375,193,77,88,15.664537,-4.6476865,702350,4,12,2028.3095238095154
705444,Alain_Weill,20,12.8125,192,192,192,19.596523,-20.5234,705444,2,22,0.0
707641,République_de_Sakha,4,10.0,0,148,245,4.0509872,1.6037972,707641,1,13,0.0
727097,Arielle_Boulin-Prat,9,12.8125,0,168,183,21.058348,17.097725,727097,2,6,1153.0
741501,Paul_Michael_Glaser,14,10.0,235,44,170,-23.094023,2.5897367,741501,1,7,0.0
744054,Téléfoot,19,15.625,193,77,88,-24.787134,-19.130169,744054,3,12,5736.0
744108,Jessica_Forde,9,10.0,0,168,183,5.4766,-13.568331,744108,1,6,0.0
747362,Claude_Barma,8,38.125,60,163,0,18.295052,1.7868468,747362,11,4,2927.089592475181
751768,Laurent_Joffrin,22,10.0,0,134,135,-4.004845,-14.270117,751768,1,8,0.0
753548,Thomas_Bjørn,5,26.875,152,129,0,22.124172,-22.450027,753548,7,10,44.24846685440313
753684,Jean_Van_de_Velde_(golf),5,21.25,152,129,0,16.55774,7.021152,753684,5,10,677.66992490918
755132,Rip_Torn,23,10.0,0,164,49,8.287611,14.843326,755132,1,1,0.0
755370,Jacques_Chancel,0,12.8125,54,124,233,-21.954563,-15.905998,755370,2,2,1153.0
761093,Charles_Philip_Ingalls,3,12.8125,192,192,192,-18.117374,-1.6075276,761093,2,5,0.0
762607,Docteur_Sylvestre,6,12.8125,192,192,192,10.214148,7.4519153,762607,2,6,0.0
763904,Michael_Cacoyannis,14,26.875,235,44,170,9.921504,3.4520066,763904,7,7,4459.799332071614
767816,Mark-Paul_Gosselaar,23,10.0,0,164,49,10.488629,11.84268,767816,1,1,0.0
769738,Elizabeth_Perkins,25,10.0,255,42,47,18.373825,-23.435806,769738,1,4,0.0
770176,Alex_Borstein,23,12.8125,0,164,49,24.448942,-16.652403,770176,2,1,576.0
770405,Les_Galettes_de_Pont-Aven,9,10.0,0,168,183,6.9948893,21.330442,770405,1,6,0.0
770613,Titoff,9,15.625,0,168,183,14.302735,2.7636795,770613,3,6,0.0
772169,Frigide_Barjot,9,21.25,0,168,183,-14.268079,19.017057,772169,5,6,76632.17153426261
776036,Charles_Dumont_(chanteur),0,10.0,54,124,233,18.14494,24.798916,776036,1,2,0.0
785149,Native_(duo),19,10.0,193,77,88,-15.115128,11.50755,785149,1,9,0.0
785348,Irène_Papas,14,15.625,235,44,170,-23.609379,3.0475874,785348,3,7,0.0
786015,Brian_Dennehy,14,12.8125,235,44,170,3.9790106,-18.074785,786015,2,7,4600.0
786053,Debout_la_France,11,15.625,0,126,172,12.754181,11.000719,786053,3,11,4988.573960843074
787246,Ben_Whishaw,25,12.8125,255,42,47,19.440699,-15.311303,787246,2,13,4600.0
788008,Chaba_Zahouania,19,10.0,193,77,88,-8.449782,-19.531065,788008,1,9,0.0
792389,Betty_White,23,12.8125,0,164,49,-14.456367,-23.787077,792389,2,1,0.5
792429,Hervé_Mathoux,19,29.6875,193,77,88,-20.99314,-14.025847,792429,8,12,61812.40753992097
793930,Claude_Guéant,0,18.4375,54,124,233,0.9371825,-0.6036629,793930,4,2,15747.61913401848
799694,"Les_Anges_gardiens_(film,_1995)",15,10.0,153,96,160,-15.305868,12.9,799694,1,13,0.0
800924,Florent_Balmont,19,15.625,193,77,88,-24.657795,-24.182302,800924,3,12,2304.0
802482,Laurent_Luyat,9,12.8125,0,168,183,-9.664554,-13.492043,802482,2,6,1153.0
805718,Alain_Perrin,19,12.8125,193,77,88,-14.480627,8.135329,805718,2,12,31.736507936507937
808374,Le_Témoin_du_mal,13,10.0,185,97,239,12.903788,20.710695,808374,1,5,0.0
814918,Guy_Williams_(acteur),13,12.8125,185,97,239,-0.8173607,10.541711,814918,2,5,2304.0
815707,Charles_Gave,11,10.0,0,126,172,4.8001275,7.602675,815707,1,11,0.0
818026,Ryder_Cup_2006,5,38.125,152,129,0,8.009688,17.60639,818026,11,10,19.49070785094027
828580,Marcel_Peyrouton,0,24.0625,54,124,233,-22.605972,11.395526,828580,6,2,15441.75022801581
843363,Jacques_Charon,8,43.75,60,163,0,-1.1606708,-7.1834493,843363,13,4,3580.6198820007435
847821,Gévrise_Émane,18,18.4375,114,121,10,16.026514,18.535988,847821,4,19,4594.0
850250,Philippe_Tesson,17,21.25,192,192,192,-3.784895,-24.69973,850250,5,14,15386.795369189571
851566,Les_Visiteurs,25,15.625,255,42,47,-18.444796,-22.894625,851566,3,13,0.0
853444,James_Garner,23,12.8125,0,164,49,3.3176088,21.656862,853444,2,1,5745.0
854670,Golgotha,0,10.0,54,124,233,-6.8225574,8.462871,854670,1,2,0.0
857832,Catherine_Allary,8,15.625,60,163,0,18.068924,15.723586,857832,3,4,3.363247863247863
859295,Tournoi_de_tennis_de_Moselle,18,21.25,114,121,10,4.4964457,-18.47143,859295,5,19,92.56666666666655
870706,Assad_ibn_al-Furat,0,10.0,54,124,233,-22.899166,7.720377,870706,1,2,0.0
871612,J._T._Walsh,25,15.625,255,42,47,-20.821234,6.7461925,871612,3,4,3183.804630185537
873608,Guy_Béart,21,12.8125,253,0,107,6.286213,14.699734,873608,2,14,0.0
873924,Tony_Bennett,23,10.0,0,164,49,-21.929703,-5.918857,873924,1,1,0.0
876991,Sassuolo,19,10.0,193,77,88,-2.788988,4.262471,876991,1,12,0.0
882709,Louis_Jourdan,14,10.0,235,44,170,-23.971216,-7.105226,882709,1,7,0.0
885278,Affaire_Puerto,10,10.0,0,134,74,10.499989,20.661432,885278,1,16,0.0
888541,Regina_King,23,18.4375,0,164,49,-15.65295,-13.264236,888541,4,1,3453.0
893662,Oliver_Reed,14,10.0,235,44,170,-0.66075414,-19.318453,893662,1,7,0.0
894550,Michael_Winner,14,10.0,235,44,170,-0.5583042,7.0329695,894550,1,7,0.0
895257,Christian_Bujeau,25,21.25,255,42,47,-20.359385,7.376097,895257,5,13,15670.801346234275
898259,Marcela_Iacub,17,18.4375,192,192,192,-2.893605,0.17271245,898259,4,14,15762.071713459254
899685,Debra_Winger,13,12.8125,185,97,239,-11.237245,14.533024,899685,2,5,0.0
903331,Caroline_Wozniacki,26,15.625,192,192,192,-9.122783,-13.191768,903331,3,21,11440.0
903339,Jim_Furyk,5,74.6875,152,129,0,-8.179434,4.8894424,903339,24,10,1879.9067154084494
906129,Fritz_Thyssen,0,15.625,54,124,233,13.986952,19.078585,906129,3,2,1155.0
907222,Mathieu_Bodmer,19,12.8125,193,77,88,-24.982164,18.694439,907222,2,12,0.0
916180,Jenny_Seagrove,14,10.0,235,44,170,-12.3734,9.4412,916180,1,7,0.0
917692,Moustapha_Tlass,27,10.0,192,192,192,21.24991,7.413157,917692,1,2,0.0
922855,Piper_Laurie,14,10.0,235,44,170,6.6743307,-8.485063,922855,1,7,0.0
929256,Stéphane_Mbia,19,24.0625,193,77,88,-22.321547,-16.243773,929256,6,12,20714.608743698558
941066,Donald_Moffat,23,10.0,0,164,49,-20.628284,17.878946,941066,1,1,0.0
942782,Muriel_Mayette-Holtz,9,18.4375,0,168,183,1.3955399,0.87643856,942782,4,6,52217.72886174009
943347,Pierre_Dux,8,40.9375,60,163,0,-15.049457,-24.176247,943347,12,4,1866.5185933814016
