,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1051296,Ivan_Desny,15.0,0,157,116,12.154414,-19.185038,1051296,3,23,3947.381469777578
1058056,Kelly_Preston,10.0,41,139,0,-11.403867,0.6050867,1058056,1,14,0.0
1063602,Jean-Michel_Caradec,12.5,0,134,74,-7.4427714,10.398343,1063602,2,4,2736.0
1067367,Tancredo_Neves,40.0,0,148,245,9.454495,-1.9106766,1067367,13,15,205.62726326859058
1068600,Michel_Der_Zakarian,12.5,235,44,170,-22.152824,23.509989,1068600,2,2,0.0
1070604,Wilford_Brimley,10.0,193,77,88,-12.757558,-9.899861,1070604,1,5,0.0
1078576,James_Bridges,15.0,193,77,88,19.220026,21.354002,1078576,3,5,682.5
1082418,Jeux_de_guerre_(film),10.0,0,160,220,5.5452156,-0.8894901,1082418,1,17,0.0
1085503,Bernard_Mabille_(humoriste),22.5,235,94,0,-1.0427244,13.647374,1085503,6,1,811.3913989447353
1087191,Marie-Pierre_Casey,17.5,0,134,74,21.630457,2.4652898,1087191,4,4,5098.998009113775
1096795,Marie-Josephte_Corriveau,12.5,152,129,0,-20.732937,-2.985076,1096795,2,0,1369.0
1098652,Gérard_Leclerc_(journaliste),12.5,235,94,0,22.985788,6.6571875,1098652,2,1,39.58796828571238
1100980,Sharif_Atkins,12.5,54,124,233,7.418095,-20.232462,1100980,2,3,19540.910076961933
1103990,Carel_Struycken,10.0,253,0,107,-14.844486,-23.381027,1103990,1,7,0.0
1105640,Patience_Dabany,17.5,255,42,47,-17.542284,-15.155602,1105640,4,8,0.6666666666666666
1112072,Bernard_Tiphaine,20.0,0,134,135,-23.849066,9.618449,1112072,5,5,25150.09928682199
1114363,"6_jours,_7_nuits",12.5,41,139,0,15.526269,-22.087032,1114363,2,14,1369.0000000000002
1120129,Patrick_Ridremont,10.0,185,97,239,-23.40738,-8.73564,1120129,1,5,0.0
1126524,Patrice_Collazo,12.5,235,44,170,1.8501413,23.698898,1126524,2,9,0.0
1132979,Jean-Luc_Petitrenaud,15.0,235,94,0,-7.936508,-12.863596,1132979,3,1,1368.9999999999998
1134510,Valérie_Payet,55.0,235,94,0,-8.333075,-6.6391125,1134510,19,1,15.36844107474914
1139603,Franck_Azéma,10.0,235,44,170,14.536134,-24.538471,1139603,1,9,0.0
1141105,Valérie_Leulliot,12.5,235,94,0,18.752357,-7.205518,1141105,2,1,0.0
1151908,Tom_Kaulitz,15.0,235,94,0,-16.439783,21.749847,1151908,3,1,0.0
1154991,Nothing_Compares_2_U,10.0,0,134,74,-0.905859,-0.09103104,1154991,1,24,0.0
1165116,Maria_Grazia_Cucinotta,10.0,0,160,220,-4.98434,17.876698,1165116,1,17,0.0
1167229,Paul_Gachet,30.0,0,134,135,-10.993608,-11.824242,1167229,9,5,452.66386009246077
1173562,Karl_Logan,10.0,193,77,88,-5.2630606,-18.23935,1173562,1,5,0.0
1175183,Tom_Cavanagh,10.0,54,124,233,6.0519853,-18.93737,1175183,1,3,0.0
1177569,Ray_Stevenson,15.0,54,124,233,-6.6647387,-17.093485,1177569,3,3,6712.084309686814
1178244,Mimi_Coutelier,12.5,193,77,88,-0.0006665493,13.873632,1178244,2,5,0.0
1183135,Marc_Eyraud,10.0,193,77,88,-15.664136,-16.718763,1183135,1,5,0.0
1183257,Joueurs_de_tennis_numéros_1_mondiaux,37.5,114,121,10,3.609847,-23.546614,1183257,12,20,701.7813322144843
1194143,Vesper_Lynd,30.0,0,160,220,-7.8363705,0.53960884,1194143,9,17,1.2964285714285713
1195163,Gold_(groupe),10.0,152,129,0,2.9778204,-4.8761005,1195163,1,0,0.0
1197308,Tom_Schacht,17.5,235,94,0,-14.357484,-20.181202,1197308,4,1,2049.0
1199664,Pierre_Billon_(auteur-compositeur),15.0,192,192,192,-9.32476,24.369083,1199664,3,13,1824.0000000000155
1205290,Jean-Pierre_Prouteau,10.0,255,42,47,-8.341728,-14.867335,1205290,1,8,0.0
1205885,Miss_Moneypenny,50.0,0,160,220,-11.817959,10.884006,1205885,17,17,1419.7477539963015
1206573,Sophie_Vouzelaud,12.5,192,192,192,-4.6731625,16.850416,1206573,2,7,4101.0
1222183,Michel_Mallory,12.5,192,192,192,-19.287432,12.322828,1222183,2,13,0.0
1222659,Emmanuelle_Chriqui,17.5,0,164,49,21.281666,-24.116516,1222659,4,10,1369.0
