,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1699446,Battle_of_Shipka_Pass,10.0,192,192,192,-4.990855,15.978756,1699446,1,4,0.0
1702335,The_Moving_Finger,15.0,0,174,240,21.343487,-11.016775,1702335,5,1,4.25
1702832,Samuel_McLaughlin,12.5,192,192,192,-13.273647,-13.036594,1702832,3,28,0.0
1708182,Designer_baby,15.0,192,192,192,-1.2853084,17.372812,1708182,5,9,4388.409729007357
1708722,Cambodian?Vietnamese_War,23.75,192,192,192,18.296522,2.8516169,1708722,12,44,2517.647993794072
1711637,J._R._Smith,10.0,192,192,192,-2.5375211,-9.625351,1711637,1,32,0.0
1714278,The_End_of_Evangelion,17.5,192,192,192,19.620596,3.094809,1714278,7,30,13799.5
1718459,Vic_Reeves_Big_Night_Out,11.25,69,155,0,-1.1029917,-15.21199,1718459,2,4,4602.0
1730246,Tifo,12.5,60,119,190,7.4358296,-3.3561776,1730246,3,10,22355.221840332175
1733152,List_of_General_Motors_factories,35.0,192,192,192,7.035909,-9.0135145,1733152,21,28,49152.7589194044
1736184,Cumulus_Media_Networks,13.75,254,0,145,-7.246387,23.387566,1736184,4,0,31823.88632884642
1739880,New_York_Film_Critics_Circle,15.0,134,102,154,2.7414978,-24.815372,1739880,5,8,14621.885031923603
1741557,Friedrich_Pollock,13.75,0,146,232,7.1484547,1.8119131,1741557,4,12,4703.6
1742029,Foxy_Lady,23.75,192,192,192,-21.65802,15.765589,1742029,12,11,3299.4125818154143
1743028,Washington_Examiner,35.0,228,71,225,-19.994911,-16.578144,1743028,21,7,398985.44180992816
1752936,Daewoo_Tico,12.5,192,192,192,-12.599655,-9.497686,1752936,3,28,0.0
1754042,Dresden_Codex,10.0,0,136,97,-13.87391,-19.754625,1754042,1,15,0.0
1757938,Nuon_Chea,28.75,192,192,192,14.918359,24.754135,1757938,16,44,1.1337662337662338
1759591,Gareth_Thomas_(rugby),15.0,187,77,156,-5.2289276,16.888485,1759591,5,14,41366.0
1761649,Submarine_canyon,11.25,192,192,192,-20.337133,17.289827,1761649,2,5,150810.0
1762258,Seth_Rogen,20.0,0,127,149,3.3966153,8.258124,1762258,9,1,2.0357142857142856
1762719,Wenxiu,11.25,192,192,192,-6.9868703,16.665268,1762719,2,18,0.0
1766364,Adam_Kennedy,11.25,254,0,145,14.846927,11.067187,1766364,2,36,4602.0
1769247,Pujie,13.75,192,192,192,5.3284454,23.199915,1769247,4,18,120.34177925538724
1773369,Chiwetel_Ejiofor,21.25,0,127,149,21.032951,-8.947499,1773369,10,1,7037.880130541645
1773913,Constitution_Day,12.5,192,192,192,-18.026073,-12.808672,1773913,3,19,82588.2247446581
1784700,Saskia_Sassen,16.25,0,146,232,16.051805,15.493486,1784700,6,12,4604.607142857143
1784882,Trevor_Woodman,11.25,176,94,34,7.0354986,-9.114742,1784882,2,27,0.0
1788674,Ken_Harrelson,10.0,255,15,65,-17.311152,10.726192,1788674,1,2,0.0
1790571,Tofurkey,22.5,0,174,240,5.960479,-10.1661415,1790571,11,6,6113.548584506321
1791158,Cammie_King,10.0,199,73,95,-14.760568,-5.653915,1791158,1,16,0.0
1794193,Steve_Brodie_(actor),11.25,199,73,95,12.691395,7.3431153,1794193,2,16,22990.0
1798617,Wally_Backman,12.5,254,0,145,18.530287,20.084848,1798617,3,36,13800.0
1800236,Atiba_Hutchinson,12.5,69,155,0,-11.770859,11.926999,1800236,3,14,6187.554695395174
1800624,Val_Doonican,10.0,154,122,0,7.474406,15.396568,1800624,1,1,0.0
1804683,Operation_Jericho,11.25,192,192,192,-21.44398,12.041938,1804683,2,38,0.0
1809625,Justin_Marshall,15.0,176,94,34,8.405245,-15.121923,1809625,5,27,522.7065649090598
1812443,Brighton_Kemptown_(UK_Parliament_constituency),12.5,0,159,54,18.301643,-5.0936933,1812443,3,26,0.0
1814039,List_of_Allied_World_War_II_conferences,16.25,192,192,192,16.608912,8.578738,1814039,6,4,12071.525481652763
1815143,Andy_Farrell,13.75,176,94,34,14.134433,-12.043124,1815143,4,27,15806.983771716057
1819866,Mangabey,10.0,0,127,149,-0.22081237,8.66445,1819866,1,1,0.0
